dataset,case_id,dice@0.5,recall@0.5,cldice@0.5,hard_dice_thinvessel@0.5,thin_proxy_score_gt,image_path,gt_path,fov_path
CHASE_DB1 (1st observer; no FOV),Image_02L,0.36730125231732635,0.25722179385026706,0.5577685883270134,0.4526285799596605,0.1395656643536366,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_02R,0.24738132379812777,0.15562825475288714,0.470228366482322,0.31319484193304437,0.17727333422352784,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_03L,0.3845728166817137,0.27263418263303446,0.5751693955233749,0.47178988358962193,0.1671365498164796,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_03R,0.3196738318201019,0.21274216039370594,0.5247942035944214,0.440470392150532,0.15473412408003204,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_05L,0.45486982014564686,0.33910535806229763,0.6677847756684994,0.6421705429130461,0.11532637178862538,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_05R,0.46639215813136464,0.3425908917940082,0.6571215356419742,0.5417376494533751,0.10482103278106364,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_06L,0.3318687695247903,0.22045542152369962,0.5213999666592437,0.36851520631907053,0.11927969601850322,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_06R,0.26484493503273526,0.1666480882612518,0.48205776279805646,0.24207800179610148,0.1607819641065656,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_09L,0.5055335628662344,0.4250267907787843,0.6146429783503481,0.5718101504296177,0.14324870167339873,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_09R,0.5452982716333745,0.4808373787908729,0.6334574810247431,0.5389876885489665,0.153137098260923,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_11L,0.5869190201008507,0.5823666346011528,0.7050910066239169,0.6845151955765588,0.19560241788767385,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_11R,0.520606510292666,0.45962489968129683,0.6604521393998251,0.5854175156126945,0.1697925019067921,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_13L,0.254029394053703,0.15765292279980114,0.45011006047031166,0.19158411415833493,0.1686728604367286,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_13R,0.21325648412059056,0.12816494843246762,0.4020974242944898,0.12524554166319984,0.1967835051546392,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_14L,0.4633506037602062,0.35426355409475957,0.6674139389364382,0.598570104859943,0.16034720433853938,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_14R,0.32727610845523813,0.21955479509177586,0.5234349018313569,0.37748010939925464,0.1435598567074801,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14R_1stHO.png,
