dataset,case_id,dice@0.5,recall@0.5,cldice@0.5,hard_dice_thinvessel@0.5,thin_proxy_score_gt,image_path,gt_path,fov_path
CHASE_DB1 (1st observer; no FOV),Image_02L,0.28857325341519174,0.18288357746300646,0.5543574016768952,0.44665331847350304,0.1395656643536366,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_02R,0.23432358008525783,0.1397649886313573,0.5490805169387597,0.3206628301052034,0.17727333422352784,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_03L,0.36964617311220616,0.2448667481987251,0.6466075452545462,0.48413942860683906,0.1671365498164796,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_03R,0.3056344540254052,0.1916709241529845,0.6181409986343624,0.49239876261778637,0.15473412408003204,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_05L,0.2760843263550911,0.1697765370261418,0.5837211361475368,0.2867762135301485,0.11532637178862538,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_05R,0.24808104982584175,0.14722701833789756,0.5840950838509508,0.2649234830597715,0.10482103278106364,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_06L,0.2533823662656199,0.1536703562759967,0.5347954674560434,0.3086383608505238,0.11927969601850322,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_06R,0.23541140191553897,0.14148366958233702,0.5509260887679313,0.3218440958974374,0.1607819641065656,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_09L,0.27530868132034125,0.1778295276197697,0.46089570481174813,0.2969496517249178,0.14324870167339873,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_09R,0.35262233987979696,0.23453983075553783,0.5297397618788713,0.32451815405141404,0.153137098260923,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_11L,0.3723090615269081,0.261859582491469,0.5757826479265877,0.3524468616308726,0.19560241788767385,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_11R,0.27034715596693387,0.16912756924703662,0.5173042651877415,0.2299694197451892,0.1697925019067921,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_13L,0.23949080618960525,0.1435304489109707,0.4787358898985832,0.2035030704193725,0.1686728604367286,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_13R,0.15432269320812583,0.08752164947009952,0.4017142202235983,0.1067999689702452,0.1967835051546392,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_14L,0.2602351133746782,0.15912017327509426,0.5490256773885815,0.28374544038610017,0.16034720433853938,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_14R,0.1686060982936207,0.0965798713046784,0.5188161349667406,0.20281124586924226,0.1435598567074801,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14R_1stHO.png,
