dataset,case_id,dice@0.5,recall@0.5,cldice@0.5,hard_dice_thinvessel@0.5,thin_proxy_score_gt,nnunet_pred_mode,image_path,gt_path,fov_path
CHASE_DB1 (1st observer; no FOV); nnU-Net v2 standard inference pipeline,Image_02L,0.6466684742592248,0.5822924697272819,0.8156278946814068,0.7302273924532487,0.1395656643536366,prob,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02L_1stHO.png,
CHASE_DB1 (1st observer; no FOV); nnU-Net v2 standard inference pipeline,Image_02R,0.579555204548215,0.5096007476953397,0.7399979525853083,0.6527982141900663,0.17727333422352784,prob,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02R_1stHO.png,
CHASE_DB1 (1st observer; no FOV); nnU-Net v2 standard inference pipeline,Image_03L,0.6734900245508685,0.6554337995830318,0.7962379011629482,0.7496393574343931,0.1671365498164796,prob,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03L_1stHO.png,
CHASE_DB1 (1st observer; no FOV); nnU-Net v2 standard inference pipeline,Image_03R,0.661897411492082,0.6157882381331674,0.8034303973305508,0.7530877936168422,0.15473412408003204,prob,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03R_1stHO.png,
CHASE_DB1 (1st observer; no FOV); nnU-Net v2 standard inference pipeline,Image_05L,0.6598156733673658,0.6146613817812958,0.824560230182303,0.8035519127024918,0.11532637178862538,prob,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05L_1stHO.png,
CHASE_DB1 (1st observer; no FOV); nnU-Net v2 standard inference pipeline,Image_05R,0.6958290814229544,0.6596500250223908,0.8255169501502788,0.7211473819966031,0.10482103278106364,prob,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05R_1stHO.png,
CHASE_DB1 (1st observer; no FOV); nnU-Net v2 standard inference pipeline,Image_06L,0.6234901437919288,0.5734897295317074,0.7279607203553922,0.6116497078666375,0.11927969601850322,prob,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06L_1stHO.png,
CHASE_DB1 (1st observer; no FOV); nnU-Net v2 standard inference pipeline,Image_06R,0.6229588322393076,0.5860550662431647,0.7697685415282826,0.6802013040831515,0.1607819641065656,prob,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06R_1stHO.png,
CHASE_DB1 (1st observer; no FOV); nnU-Net v2 standard inference pipeline,Image_09L,0.6113593550826478,0.5751999009613387,0.70965334517761,0.6498980288920093,0.14324870167339873,prob,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09L_1stHO.png,
CHASE_DB1 (1st observer; no FOV); nnU-Net v2 standard inference pipeline,Image_09R,0.67877366918886,0.6997685326000597,0.7466222300158729,0.6316463808624083,0.153137098260923,prob,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09R_1stHO.png,
