dataset,case_id,dice@0.5,recall@0.5,cldice@0.5,hard_dice_thinvessel@0.5,thin_proxy_score_gt,image_path,gt_path,fov_path
CHASE_DB1 (1st observer; no FOV),Image_02L,0.15514461177763925,0.08716268310367994,0.4895316111435481,0.29189274255571857,0.1395656643536366,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_02R,0.1070500950567251,0.05751101614935091,0.5019055778499035,0.19913185078734955,0.17727333422352784,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_03L,0.14514381993679817,0.08019043565080716,0.5337598121361998,0.24567280901334954,0.1671365498164796,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_03R,0.12506968021523973,0.06815702626749741,0.5317487294950867,0.24178238076270311,0.15473412408003204,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_05L,0.22377685095477634,0.13141781117822812,0.587684825618118,0.40459058256253705,0.11532637178862538,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_05R,0.2110218360942107,0.12076460574302136,0.59969682204095,0.3017557788892414,0.10482103278106364,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_06L,0.1324212375884999,0.07262239109083342,0.45583417812348087,0.21305558501283328,0.11927969601850322,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_06R,0.09634334403717512,0.05135993756947944,0.48213366447035905,0.12906364075471127,0.1607819641065656,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_09L,0.18875927886262492,0.10638034784717246,0.5673129882345809,0.24381000600832492,0.14324870167339873,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_09R,0.2707613651598104,0.1605522439704721,0.6002920426857887,0.21617752419926328,0.153137098260923,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_11L,0.3341346153337794,0.21481249629006582,0.6403605783941841,0.34795539087322974,0.19560241788767385,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_11R,0.23183488828488166,0.1363111884426278,0.5957819466774478,0.21008143571788326,0.1697925019067921,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_13L,0.17611213571728335,0.10117998099464601,0.41760347678864573,0.15228897840812614,0.1686728604367286,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_13R,0.13611491106047183,0.07549690720404174,0.4224577342964625,0.08921278202193259,0.1967835051546392,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13R_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_14L,0.2084832567027599,0.12024904183717615,0.5774280957189423,0.32303548849569436,0.16034720433853938,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14L_1stHO.png,
CHASE_DB1 (1st observer; no FOV),Image_14R,0.11549025445655212,0.06220036000245943,0.5273900911325264,0.13000580484038793,0.1435598567074801,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14R_1stHO.png,
