dataset,case_id,dice@0.5,recall@0.5,cldice@0.5,hard_dice_thinvessel@0.5,thin_proxy_score_gt,image_path,gt_path,fov_path
HRF all (manual1; FOV mask),01_dr,0.015178558813614584,0.0077491422565620265,0.31872737150195185,0.022521500810006496,0.11516472006956822,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_dr_mask.tif
HRF all (manual1; FOV mask),01_g,0.004759541353201246,0.0023914616233001906,0.34766589801510805,0.005106078913795848,0.142683407835919,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_g.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_g.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_g_mask.tif
HRF all (manual1; FOV mask),01_h,0.22641683424035997,0.1295545684776666,0.5362219793680406,0.06218351249185145,0.045891054913849344,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_h_mask.tif
HRF all (manual1; FOV mask),02_dr,0.0163761215579926,0.008308432329845752,0.40885496488639334,0.04012063622736236,0.12327593805448783,C:\Users\zhang\Desktop\vessel\HRF\all\images\02_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\02_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\02_dr_mask.tif
HRF all (manual1; FOV mask),02_h,0.22104555405537096,0.12545675402048118,0.572438442909198,0.17510558573762372,0.0237841368169235,C:\Users\zhang\Desktop\vessel\HRF\all\images\02_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\02_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\02_h_mask.tif
HRF all (manual1; FOV mask),03_dr,0.06377831704326865,0.03394798863004465,0.39404868347321015,0.06927251461900605,0.11009911003236246,C:\Users\zhang\Desktop\vessel\HRF\all\images\03_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\03_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\03_dr_mask.tif
HRF all (manual1; FOV mask),03_h,0.045183367680639984,0.02316444592544184,0.47092353659190367,0.002034593072051917,0.00227269834326771,C:\Users\zhang\Desktop\vessel\HRF\all\images\03_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\03_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\03_h_mask.tif
HRF all (manual1; FOV mask),04_g,0.00974223589006269,0.004906789972212445,0.39643386751049053,0.013456056200463294,0.11571483879783495,C:\Users\zhang\Desktop\vessel\HRF\all\images\04_g.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\04_g.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\04_g_mask.tif
HRF all (manual1; FOV mask),04_h,0.06263409058931393,0.03238745715002835,0.49369687462645967,0.047784400597157606,0.02440898858347773,C:\Users\zhang\Desktop\vessel\HRF\all\images\04_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\04_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\04_h_mask.tif
HRF all (manual1; FOV mask),05_dr,0.025835482758189445,0.013177855856871548,0.42379929975837505,0.01434604412272605,0.12563607857314069,C:\Users\zhang\Desktop\vessel\HRF\all\images\05_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\05_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\05_dr_mask.tif
