dataset,case_id,dice@0.5,recall@0.5,cldice@0.5,hard_dice_thinvessel@0.5,thin_proxy_score_gt,image_path,gt_path,fov_path
HRF all (manual1; FOV mask),01_dr,0.0025777756521538587,0.001295931640175902,0.2950717879667134,0.010664343124058187,0.11516472006956822,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_dr_mask.tif
HRF all (manual1; FOV mask),01_g,0.001357956640273673,0.0006796208738484881,0.4638663657118235,0.002556302691459866,0.142683407835919,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_g.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_g.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_g_mask.tif
HRF all (manual1; FOV mask),01_h,0.15477168578451547,0.08448736520870324,0.5112199632954963,0.019459683516338967,0.045891054913849344,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_h_mask.tif
HRF all (manual1; FOV mask),02_dr,0.0030450483534734006,0.0015266648510058214,0.44319317011724024,0.011129144599871837,0.12327593805448783,C:\Users\zhang\Desktop\vessel\HRF\all\images\02_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\02_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\02_dr_mask.tif
HRF all (manual1; FOV mask),02_h,0.10769015300816179,0.05706796697693695,0.5225329719329617,0.06996235931244048,0.0237841368169235,C:\Users\zhang\Desktop\vessel\HRF\all\images\02_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\02_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\02_h_mask.tif
HRF all (manual1; FOV mask),03_dr,0.021259055757420722,0.010825081172717294,0.42676085655086465,0.021049952915536616,0.11009911003236246,C:\Users\zhang\Desktop\vessel\HRF\all\images\03_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\03_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\03_dr_mask.tif
HRF all (manual1; FOV mask),03_h,0.032516072096332324,0.016543883646406382,0.4898462829408748,5.091649668576123e-09,0.00227269834326771,C:\Users\zhang\Desktop\vessel\HRF\all\images\03_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\03_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\03_h_mask.tif
HRF all (manual1; FOV mask),04_g,0.007192899984572214,0.0036160289737194227,0.3889483883070429,0.009500024646279153,0.11571483879783495,C:\Users\zhang\Desktop\vessel\HRF\all\images\04_g.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\04_g.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\04_g_mask.tif
HRF all (manual1; FOV mask),04_h,0.0475241515344757,0.024354745688808837,0.5108361827443268,0.02991631849899774,0.02440898858347773,C:\Users\zhang\Desktop\vessel\HRF\all\images\04_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\04_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\04_h_mask.tif
HRF all (manual1; FOV mask),05_dr,0.011977796684845365,0.006044599554986115,0.4768622847403449,0.010144386511988986,0.12563607857314069,C:\Users\zhang\Desktop\vessel\HRF\all\images\05_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\05_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\05_dr_mask.tif
