run_id,output_dir,loss_mode,val_dice_mean_at_0_5,val_recall_mean_at_0_5,hard_dice_mean_at_0_5,hard_recall_mean_at_0_5,best_val_dice_threshold,best_val_dice_mean,best_hard_dice_threshold,primary_hard_dice_mean,hard_recall_at_best_hard_dice_threshold,val_dice_mean_at_best_val_dice_threshold,val_sci_corr_pearson,val_sci_corr_spearman,pct_pred_above_tau,pct_pred_above_tau_on_true_hard
J3_joint_detach_false,C:\Users\zhang\Desktop\vessel\outputs\task3_J3_joint_detach_false,joint_difficulty,0.8110656916385035,0.805837897625956,0.7365392505023658,0.7411360782789799,0.3,0.8128331347120975,0.35,0.7385778641003746,0.7641069577840771,0.8128331347120975,0.5919465957022505,0.5728250590180249,0.093,0.2857
P5_oracle_matched_trigger,C:\Users\zhang\Desktop\vessel\outputs\task3_v3_1_oracle_matched_trigger_same_split,oracle_quadratic,0.8107983588242674,0.7997806077295188,0.7346934449304218,0.7201585513184885,0.3,0.812314850728918,0.3,0.7374339064055633,0.7508093193922433,0.812314850728918,,,,
J1_joint_calib_only,C:\Users\zhang\Desktop\vessel\outputs\task3_J1_joint_calib_only,joint_difficulty,0.8109427109934847,0.8239668103125278,0.7359397902858618,0.7577653760747295,0.5,0.8109427109934847,0.6,0.7362151098883762,0.7437805136290784,0.8109427109934847,0.7207230794729301,0.6794725757800874,0.093,0.3714
P4_frozen_probe,C:\Users\zhang\Desktop\vessel\outputs\task3_v3_1_predicted_frozen_same_split,frozen_probe_weighted,0.8126929122357758,0.81512813535637,0.7349983973277358,0.7358031806407515,0.45,0.8127349367446824,0.35,0.7361483200233386,0.7578379149233485,0.8127349367446824,0.14451348257749216,0.18211747947634915,0.093,0.2857
A4_tau071_a065,C:\Users\zhang\Desktop\vessel\outputs\task3_A4_tau071_a065,oracle_quadratic,0.8102913632706561,0.8407180012572518,0.7354476099825461,0.7610624041476539,0.6,0.8108375322126401,0.55,0.7357331137881674,0.7533292421381937,0.8108375322126401,,,,
P3_best_plus_sampler,C:\Users\zhang\Desktop\vessel\outputs\task3_v2_1_best_plus_sampler_same_split,oracle_quadratic,0.8099301956127531,0.8127399470181892,0.7350319050192884,0.7442153564544456,0.4,0.8103470380314337,0.45,0.7354089038502344,0.7515098289537985,0.8103470380314337,,,,
P6_oracle_matched_strength,C:\Users\zhang\Desktop\vessel\outputs\task3_v3_1_oracle_matched_strength_same_split,oracle_quadratic,0.8144016430988475,0.8171140946490693,0.7343919091408279,0.7379429916081417,0.45,0.8147278352675167,0.4,0.7351385490330736,0.7539582505463006,0.8147278352675167,,,,
P0_baseline,C:\Users\zhang\Desktop\vessel\outputs\task3_v2_1_baseline_same_split,,0.8103641556678753,0.7928871741671296,0.7309914610311695,0.711265403608769,0.3,0.8136493465651342,0.3,0.7346782118357121,0.7445685276719971,0.8136493465651342,,,,
P2_oracle_quadratic,C:\Users\zhang\Desktop\vessel\outputs\task3_v2_1_oracle_quadratic_same_split,oracle_quadratic,0.8111360777777413,0.8272893647856553,0.7345565544419441,0.7491657741841089,0.55,0.8113293557608482,0.5,0.7345565544419441,0.7491657741841089,0.8113293557608482,,,,
A1_tau069_a065,C:\Users\zhang\Desktop\vessel\outputs\task3_A1_tau069_a065,oracle_quadratic,0.8107615351747443,0.8205602972385563,0.7333001581944724,0.7508641706811398,0.5,0.8107615351747443,0.45,0.7333975188679723,0.7590104895526885,0.8107615351747443,,,,
A3_tau071_a050,C:\Users\zhang\Desktop\vessel\outputs\task3_A3_tau071_a050,oracle_quadratic,0.8110878236151465,0.8151690871611145,0.7317849279944941,0.7257650938677062,0.4,0.8115525526402484,0.45,0.7329956811407999,0.7334674739824217,0.8115525526402484,,,,
A5_tau073_a065,C:\Users\zhang\Desktop\vessel\outputs\task3_A5_tau073_a065,oracle_quadratic,0.8104518742063012,0.828557854092821,0.7326827617166725,0.7659540638789878,0.55,0.8105956353897286,0.6,0.7327958161897576,0.7502895049200448,0.8105956353897286,,,,
A6_tau073_a080,C:\Users\zhang\Desktop\vessel\outputs\task3_A6_tau073_a080,oracle_quadratic,0.8119929409003198,0.8144054320728127,0.7324860429368795,0.7461562414671518,0.45,0.8122137941981875,0.5,0.7324860429368795,0.7461562414671518,0.8122137941981875,,,,
A2_tau069_a080,C:\Users\zhang\Desktop\vessel\outputs\task3_A2_tau069_a080,oracle_quadratic,0.8106135132475935,0.8315010852018702,0.7295461339323273,0.7497997358760672,0.6,0.8111762447242598,0.6,0.7302937426175311,0.7365419664120004,0.8111762447242598,,,,
J2_joint_detach_true,C:\Users\zhang\Desktop\vessel\outputs\task3_J2_joint_detach_true,joint_difficulty,0.8098929495733491,0.813069430447616,0.7291302996529824,0.7437402247855799,0.45,0.8102560165326047,0.35,0.7300949520407108,0.7660898066595916,0.8102560165326047,0.6132154044326399,0.6335859139716477,0.2558,0.6571
