category,patch_name,sample_id,sci_res2_norm,baseline_dice,ours_dice,delta_dice,baseline_recall,ours_recall,delta_recall,figure
ours_worse_hard,21_y256_x437.png,21,1.0,0.5805920958518982,0.5396535992622375,-0.040938496589660645,0.6303571316007656,0.5285714191326533,-0.1017857124681123,ours_worse_hard\21_y256_x437.png
ours_worse_hard,21_y256_x384.png,21,0.859097957611084,0.6390471458435059,0.6122015714645386,-0.026845574378967285,0.7319098371066449,0.6844602528533777,-0.047449584253267174,ours_worse_hard\21_y256_x384.png
ours_worse_hard,21_y256_x320.png,21,0.6356154680252075,0.7022758722305298,0.6757009625434875,-0.026574909687042236,0.831683159167402,0.7953795292037455,-0.036303629963656436,ours_worse_hard\21_y256_x320.png
ours_worse_hard,38_y256_x256.png,38,0.5898274779319763,0.7189542651176453,0.6954357028007507,-0.02351856231689453,0.6465833898120251,0.6157237280255421,-0.030859661786483028,ours_worse_hard\38_y256_x256.png
ours_worse_hard,21_y256_x192.png,21,0.6142100691795349,0.7495338916778564,0.7307932376861572,-0.01874065399169922,0.7810880727838333,0.757772010909689,-0.023316061874144256,ours_worse_hard\21_y256_x192.png
ours_worse_hard,38_y256_x192.png,38,0.6093800663948059,0.7479417324066162,0.7329232692718506,-0.015018463134765625,0.7008902035555478,0.671810085033768,-0.02908011852177972,ours_worse_hard\38_y256_x192.png
ours_worse_hard,22_y256_x0.png,22,0.9527600407600403,0.5321739315986633,0.5175438523292542,-0.01463007926940918,0.42977527486270684,0.4143258368774461,-0.015449437985260717,ours_worse_hard\22_y256_x0.png
ours_worse_hard,38_y256_x128.png,38,0.7239670157432556,0.7242611050605774,0.7114182114601135,-0.012842893600463867,0.7065906165615297,0.685044355608084,-0.021546260953445695,ours_worse_hard\38_y256_x128.png
ours_worse_hard,21_y320_x384.png,21,0.7871647477149963,0.6868792176246643,0.6752977967262268,-0.0115814208984375,0.7448979507381185,0.7392290165620293,-0.005668934176089158,ours_worse_hard\21_y320_x384.png
ours_worse_hard,22_y256_x64.png,22,0.8356077671051025,0.6877828240394592,0.6769102811813354,-0.01087254285812378,0.653635647743271,0.6372165704674232,-0.016419077275847793,ours_worse_hard\22_y256_x64.png
ours_worse_hard,36_y256_x437.png,36,0.5837335586547852,0.8752660751342773,0.8645803928375244,-0.01068568229675293,0.8493527930340049,0.8369595129800068,-0.01239328005399809,ours_worse_hard\36_y256_x437.png
ours_worse_hard,38_y320_x192.png,38,0.5934650301933289,0.815487802028656,0.8055375218391418,-0.00995028018951416,0.7821576731030802,0.7726141046779497,-0.009543568425130489,ours_worse_hard\38_y320_x192.png
ours_worse_hard,38_y320_x256.png,38,0.5860111117362976,0.8067573308944702,0.7972889542579651,-0.009468376636505127,0.7621642632846856,0.75554690246965,-0.006617360815035611,ours_worse_hard\38_y320_x256.png
ours_worse_hard,21_y192_x437.png,21,0.8816248774528503,0.6048324108123779,0.5959839224815369,-0.008848488330841064,0.5969230677396451,0.5707692219881658,-0.026153845751479277,ours_worse_hard\21_y192_x437.png
ours_worse_hard,38_y256_x64.png,38,0.6138442754745483,0.7101576328277588,0.7014134526252747,-0.00874418020248413,0.6780936398152706,0.6638795931113747,-0.014214046703895922,ours_worse_hard\38_y256_x64.png
ours_worse_hard,38_y320_x128.png,38,0.600751519203186,0.831416666507721,0.8227227926254272,-0.008693873882293701,0.8320274200194544,0.822722816734952,-0.009304603284502444,ours_worse_hard\38_y320_x128.png
