patch_name,gt_sci_res2_norm,pred_sci,is_true_hard,pred_above_tau,oracle_above_tau,baseline_dice,frozen_dice,delta_dice_frozen_vs_baseline,baseline_recall,frozen_recall,delta_recall_frozen_vs_baseline,sample_id,fov_ratio,vessel_area,skeleton_len,junction_count,endpoint_count,component_count,endpoint_eff,topo_density,sci_topo_norm,group
21_y64_x64.png,0.4269723892211914,0.4940216541290283,False,False,False,0.9113162120559466,0.9111024846445992,-0.00021372741134739748,0.9058635783571456,0.9361786959067463,0.0303151175496007,21,0.831726,2507.0,507.0,12.0,9.0,2.0,5.0,0.0300788948702387,0.0302836447954177,neither
21_y64_x128.png,0.42049455642700195,0.3990743160247803,False,False,False,0.9134310320087158,0.9165547097827217,0.0031236777740059063,0.894114164761567,0.908015377379428,0.013901212617860925,21,0.990601,3381.0,723.0,15.0,14.0,3.0,8.0,0.0287690175827245,0.0531595237553119,neither
21_y64_x192.png,0.3798713982105255,0.41464197635650635,False,False,False,0.894508398009986,0.8967607503376382,0.002252352327652196,0.8879730202773585,0.8868490037959946,-0.0011240164813638431,21,1.0,2669.0,670.0,11.0,12.0,3.0,6.0,0.0240298503876141,0.1235627382993698,neither
21_y64_x256.png,0.42139333486557007,0.44550269842147827,False,False,False,0.8840436077620543,0.8892843023145822,0.005240694552527958,0.9024686325274437,0.9101578271543592,0.00768919462691553,21,1.0,2471.0,691.0,11.0,19.0,4.0,11.0,0.028002893950754,0.1842059195041656,neither
21_y64_x320.png,0.4316003620624542,0.4500766396522522,False,False,False,0.8684014873149901,0.8720930235656662,0.0036915362506760863,0.8943338392325991,0.9188361361978757,0.024502296965276615,21,0.964294,1959.0,582.0,8.0,15.0,4.0,7.0,0.0256872847820054,0.2151542603969574,neither
21_y128_x64.png,0.3837968707084656,0.44076645374298096,False,False,False,0.9101602706805466,0.9105760964308167,0.0004158257502701046,0.9119033561817814,0.9360636389626881,0.02416028278090665,21,0.99762,3394.0,684.0,19.0,15.0,4.0,7.0,0.0379385959365702,0.0356415398418903,neither
21_y128_x128.png,0.4292093813419342,0.3832781910896301,False,False,False,0.9087534798812968,0.9097318009046256,0.000978321023328732,0.9198497153417353,0.9292423264582268,0.009392611116491478,21,1.0,3194.0,748.0,16.0,18.0,4.0,10.0,0.0320855610683748,0.0980046540498733,neither
21_y128_x192.png,0.38636189699172974,0.417652428150177,False,False,False,0.8978176628639248,0.898996107561983,0.0011784446980581675,0.9095041284731233,0.906611566501605,-0.002892561971518326,21,1.0,2420.0,655.0,11.0,14.0,3.0,8.0,0.0256488545702464,0.1639602035284042,neither
21_y128_x256.png,0.4006681740283966,0.4539746046066284,False,False,False,0.8742667690021251,0.8732612058906203,-0.0010055631115047925,0.890852386222181,0.8809771263982478,-0.009875259823933225,21,1.0,1924.0,616.0,8.0,16.0,4.0,8.0,0.0248376619344535,0.2578544318675995,neither
21_y128_x320.png,0.4678260087966919,0.4679624140262604,False,False,False,0.8032454369036696,0.7958697386978961,-0.00737569820577344,0.8714788655679677,0.8820422457566703,0.01056338018870262,21,1.0,1136.0,513.0,6.0,16.0,6.0,4.0,0.0290448337418161,0.5006767511367798,neither
21_y128_x384.png,0.5694952011108398,0.4915989637374878,False,False,False,0.6934131754885439,0.7150838004743921,0.021670624985848264,0.7130541784106629,0.7881773301948605,0.0751231517841976,21,0.966431,806.0,433.0,4.0,17.0,6.0,5.0,0.0306004611870563,0.6471719741821289,neither
21_y192_x0.png,0.62925124168396,0.7460672855377197,True,True,True,0.8790262730012969,0.8809794990304961,0.0019532260291992287,0.8680738760830434,0.9070653740631328,0.038991497980089385,21,0.875671,3411.0,766.0,26.0,18.0,1.0,16.0,0.0412532631690174,0.0871002897620201,both
21_y192_x64.png,0.3825763165950775,0.5385534763336182,False,False,False,0.863814756939139,0.8684407798567452,0.004626022917606165,0.8570872240767631,0.9022585634647251,0.04517133938796203,21,1.0,2568.0,654.0,13.0,16.0,5.0,6.0,0.032262996448578,0.1395927220582962,neither
21_y192_x128.png,0.42940589785575867,0.40226906538009644,False,False,False,0.829734513877046,0.8106611290735164,-0.019073384803529603,0.8939740587797554,0.8932112822790902,-0.000762776500665252,21,1.0,1311.0,529.0,5.0,20.0,7.0,6.0,0.0304347820333689,0.4186836779117584,neither
