dataset,case_id,method,internal_id,dice@0.5,recall@0.5,cldice@0.5,image_path,gt_path,fov_path
CHASE_DB1 (1st observer),Image_01L,Baseline (P0),P0_baseline,0.19075568598679385,0.10884353741496598,0.4994997361807545,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_01L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_01L_1stHO.png,
CHASE_DB1 (1st observer),Image_01L,CDC (proposed; internal J3),J3_joint_detach_false,0.3120687064371829,0.20182402631382224,0.5169496335315241,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_01L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_01L_1stHO.png,
CHASE_DB1 (1st observer),Image_01R,Baseline (P0),P0_baseline,0.13567440160328725,0.07389000247123755,0.4795347006822687,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_01R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_01R_1stHO.png,
CHASE_DB1 (1st observer),Image_01R,CDC (proposed; internal J3),J3_joint_detach_false,0.2881184036020373,0.17746231362750212,0.5511752388053384,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_01R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_01R_1stHO.png,
CHASE_DB1 (1st observer),Image_02L,Baseline (P0),P0_baseline,0.15514461179538203,0.0871626831148805,0.4895316111435481,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02L_1stHO.png,
CHASE_DB1 (1st observer),Image_02L,CDC (proposed; internal J3),J3_joint_detach_false,0.28857325344444784,0.18288357748650733,0.5543574016768952,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02L_1stHO.png,
CHASE_DB1 (1st observer),Image_02R,Baseline (P0),P0_baseline,0.1070500950700287,0.05751101615703031,0.5019055778499035,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02R_1stHO.png,
CHASE_DB1 (1st observer),Image_02R,CDC (proposed; internal J3),J3_joint_detach_false,0.2343235801114867,0.13976498865002002,0.5490805169387597,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_02R_1stHO.png,
CHASE_DB1 (1st observer),Image_03L,Baseline (P0),P0_baseline,0.14514381995426645,0.08019043566147135,0.5337598121361998,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03L_1stHO.png,
CHASE_DB1 (1st observer),Image_03L,CDC (proposed; internal J3),J3_joint_detach_false,0.3696461731493099,0.2448667482312889,0.6466075452545462,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03L_1stHO.png,
CHASE_DB1 (1st observer),Image_03R,Baseline (P0),P0_baseline,0.12506968023108497,0.06815702627690863,0.5317487294950867,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03R_1stHO.png,
CHASE_DB1 (1st observer),Image_03R,CDC (proposed; internal J3),J3_joint_detach_false,0.30563445405905276,0.19167092417945072,0.6181409986343624,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_03R_1stHO.png,
CHASE_DB1 (1st observer),Image_04L,Baseline (P0),P0_baseline,0.10018825817551646,0.05345359727543635,0.4846865525538834,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_04L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_04L_1stHO.png,
CHASE_DB1 (1st observer),Image_04L,CDC (proposed; internal J3),J3_joint_detach_false,0.20717633711135813,0.12025063856960409,0.5443682709109575,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_04L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_04L_1stHO.png,
CHASE_DB1 (1st observer),Image_04R,Baseline (P0),P0_baseline,0.11017116849708124,0.06033268313827481,0.40944417086069973,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_04R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_04R_1stHO.png,
CHASE_DB1 (1st observer),Image_04R,CDC (proposed; internal J3),J3_joint_detach_false,0.18509940392912988,0.10663198959687907,0.4957335308554104,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_04R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_04R_1stHO.png,
CHASE_DB1 (1st observer),Image_05L,Baseline (P0),P0_baseline,0.22377685097986458,0.13141781119553336,0.587684825618118,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05L_1stHO.png,
CHASE_DB1 (1st observer),Image_05L,CDC (proposed; internal J3),J3_joint_detach_false,0.2760843263846508,0.16977653704849818,0.5837211361475368,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05L_1stHO.png,
CHASE_DB1 (1st observer),Image_05R,Baseline (P0),P0_baseline,0.21102183611678738,0.12076460575780953,0.59969682204095,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05R_1stHO.png,
CHASE_DB1 (1st observer),Image_05R,CDC (proposed; internal J3),J3_joint_detach_false,0.24808104985143611,0.1472270183559262,0.5840950838509508,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_05R_1stHO.png,
