dataset,case_id,method,internal_id,dice@0.5,recall@0.5,cldice@0.5,image_path,gt_path,fov_path
HRF (all; manual1; FOV mask if present),01_dr,Baseline (P0),P0_baseline,0.0025777756522155,0.0012959316402070605,0.2950717879667134,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_dr_mask.tif
HRF (all; manual1; FOV mask if present),01_dr,CDC (proposed; internal J3),J3_joint_detach_false,0.015178558813971997,0.007749142256748342,0.31872737150195185,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_dr_mask.tif
HRF (all; manual1; FOV mask if present),01_dr,Baseline (P0),P0_baseline,0.0025777756522155,0.0012959316402070605,0.2950717879667134,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_dr_mask.tif
HRF (all; manual1; FOV mask if present),01_dr,CDC (proposed; internal J3),J3_joint_detach_false,0.015178558813971997,0.007749142256748342,0.31872737150195185,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_dr_mask.tif
HRF (all; manual1; FOV mask if present),01_g,Baseline (P0),P0_baseline,0.0013579566402984584,0.0006796208738609042,0.4638663657118235,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_g.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_g.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_g_mask.tif
HRF (all; manual1; FOV mask if present),01_g,CDC (proposed; internal J3),J3_joint_detach_false,0.004759541353287774,0.002391461623343881,0.34766589801510805,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_g.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_g.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_g_mask.tif
HRF (all; manual1; FOV mask if present),01_g,Baseline (P0),P0_baseline,0.0013579566402984584,0.0006796208738609042,0.4638663657118235,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_g.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_g.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_g_mask.tif
HRF (all; manual1; FOV mask if present),01_g,CDC (proposed; internal J3),J3_joint_detach_false,0.004759541353287774,0.002391461623343881,0.34766589801510805,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_g.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_g.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_g_mask.tif
HRF (all; manual1; FOV mask if present),01_h,Baseline (P0),P0_baseline,0.15477168578621547,0.08448736520971642,0.5112199632954963,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_h_mask.tif
HRF (all; manual1; FOV mask if present),01_h,CDC (proposed; internal J3),J3_joint_detach_false,0.22641683424273257,0.12955456847922023,0.5362219793680406,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_h_mask.tif
HRF (all; manual1; FOV mask if present),01_h,Baseline (P0),P0_baseline,0.15477168578621547,0.08448736520971642,0.5112199632954963,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_h_mask.tif
HRF (all; manual1; FOV mask if present),01_h,CDC (proposed; internal J3),J3_joint_detach_false,0.22641683424273257,0.12955456847922023,0.5362219793680406,C:\Users\zhang\Desktop\vessel\HRF\all\images\01_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\01_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\01_h_mask.tif
HRF (all; manual1; FOV mask if present),02_dr,Baseline (P0),P0_baseline,0.003045048353531644,0.0015266648510351018,0.44319317011724024,C:\Users\zhang\Desktop\vessel\HRF\all\images\02_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\02_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\02_dr_mask.tif
HRF (all; manual1; FOV mask if present),02_dr,CDC (proposed; internal J3),J3_joint_detach_false,0.01637612155830213,0.008308432330005102,0.40885496488639334,C:\Users\zhang\Desktop\vessel\HRF\all\images\02_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\02_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\02_dr_mask.tif
HRF (all; manual1; FOV mask if present),02_dr,Baseline (P0),P0_baseline,0.003045048353531644,0.0015266648510351018,0.44319317011724024,C:\Users\zhang\Desktop\vessel\HRF\all\images\02_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\02_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\02_dr_mask.tif
