Dataset,Method,Setting,Dice @0.5,Recall @0.5,clDice @0.5,Hard Dice @0.5 (thin-vessel proxy),n_train,n_val,n_test,seed
DRIVE (training subset only in repo),P0,re-eval,0.8303535329354194,0.8052278119252321,0.9249111537345758,0.8463659915605242,0,0,20,N/A
DRIVE (training subset only in repo),CDC (J3),re-eval,0.8380858681347039,0.8386895416372914,0.9396970606155758,0.8759335110369406,0,0,20,N/A
CHASE_DB1 (1st observer),P0,zero-shot,0.17860388632745175,0.10289802958384746,0.5331826359253891,0.23371954880645537,8,4,16,42
CHASE_DB1 (1st observer),CDC (J3),zero-shot,0.2690236596725102,0.16884077954644391,0.5408586588130924,0.30792376912116043,8,4,16,42
CHASE_DB1 (1st observer),P0,fine-tuned,0.7861067646846156,0.7735608264990792,0.8586265390071213,0.6565534637795156,8,4,16,42
CHASE_DB1 (1st observer),CDC (J3),fine-tuned,0.7853921930204433,0.7652380164362037,0.8714039687013031,0.700834639472927,8,4,16,42
HRF all (manual1; FOV mask),P0,zero-shot,0.02922794596595781,0.015517484548311805,0.46805071967621326,0.018023369452338855,10,5,30,42
HRF all (manual1; FOV mask),CDC (J3),zero-shot,0.06959079964458306,0.03842039202705023,0.4599852750702566,0.059758230707282076,10,5,30,42
HRF all (manual1; FOV mask),P0,fine-tuned,0.7543155014134569,0.7610084521074587,0.8233798235900102,0.48744530741128467,10,5,30,42
HRF all (manual1; FOV mask),CDC (J3),fine-tuned,0.7420074825598065,0.7363788096827949,0.8241054057386619,0.5140002452339634,10,5,30,42
